"","Name","WeightClass","Bodyweight","Squat3","Deadlift2","Deadlift3","AttSquat3","AttDeadlift2","AttDeadlift3","Percent_Increase","D3_Success"
"1","Edmond Dumikyan","53",52.7,155,165,172.5,155,165,172.5,4.54545454545455,1
"2","Jakub Bonkowski","53",52.78,-137.5,182.5,185,137.5,182.5,185,1.36986301369863,1
"3","Jackson Watkins #1","53",42.25,55,70,80,55,70,80,14.2857142857143,1
"4","Ved Buryanovskiy","59",58.98,187.5,212.5,225,187.5,212.5,225,5.88235294117647,1
"5","Boris Bukatka","59",58.85,187.5,200,-215,187.5,200,215,7.5,0
"6","Danylo Volosianko","59",58.32,-165,202.5,207.5,165,202.5,207.5,2.46913580246914,1
"7","AlI AlshavI","59",57.59,-165,195,-202.5,165,195,202.5,3.84615384615385,0
"8","Oleksandr Pyshenkov","59",58.97,-170,175,-180,170,175,180,2.85714285714286,0
"9","Alexandr Ivanov","66",65.9,200,202.5,-220,200,202.5,220,8.64197530864197,0
"10","Terence Jacobs","66",64.17,162.5,210,220,162.5,210,220,4.76190476190476,1
"11","Leonid Koval","66",65.77,177.5,185,-205,177.5,185,205,10.8108108108108,0
"12","Teo Kalogjera","74",73.42,220,255,-262.5,220,255,262.5,2.94117647058824,0
"13","Vadim Plakhotnikov","74",70.26,230,260,-285,230,260,285,9.61538461538462,0
"14","Elmeri Kujala","74",72.95,207.5,240,255,207.5,240,255,6.25,1
"15","Agustin Lorenzo","74",72.1,195,-230,230,195,230,230,0,1
"16","Minh Vinh Anh Le","74",72.73,187.5,220,-225,187.5,220,225,2.27272727272727,0
"17","Shane McGarry","74",73.38,-160,-210,210,160,210,210,0,1
"18","Wiktor Tarnowski","74",72.44,-165,170,-175,165,170,175,2.94117647058824,0
"19","Mikuláš Sikora","83",80.89,-220,270,-287,220,270,287,6.2962962962963,0
"20","Aleksandr Ponamarev","83",82.47,-225,275,-285,225,275,285,3.63636363636364,0
"21","Theo Goff","83",82.28,205,255,-260,205,255,260,1.96078431372549,0
"22","Ostap Kosyk","83",82.64,-237.5,240,-250,237.5,240,250,4.16666666666667,0
"23","David Lacina","83",81.61,-205,250,262.5,205,250,262.5,5,1
"24","Aaron Hoxellari","83",82.09,-215,260,-270,215,260,270,3.84615384615385,0
"25","Dara McCullagh","83",81.38,-207.5,-255,-255,207.5,255,255,0,0
"26","Aaron Happonen","83",82.19,200,-237.5,-237.5,200,237.5,237.5,0,0
"27","Jack Hopkins","93",89.57,257.5,300.5,310,257.5,300.5,310,3.16139767054908,1
"28","Malik Bernoussi Triolet","93",92.82,267.5,285,-301,267.5,285,301,5.6140350877193,0
"29","Susa Oliver","93",93,250,250,265,250,250,265,6,1
"30","Dominik Fischer","93",91.79,222.5,257.5,267.5,222.5,257.5,267.5,3.88349514563107,1
"31","Silvan Heijnen","93",92.58,225,257.5,-267.5,225,257.5,267.5,3.88349514563107,0
"32","Ondrej Smetaník","93",91.73,220,230,-240,220,230,240,4.34782608695652,0
"33","Matvei Popov","53",52.84,137.5,150,160,137.5,150,160,6.66666666666667,1
"34","Salman Desai","53",51.85,-125,152.5,-157.5,125,152.5,157.5,3.27868852459016,0
"35","Boris Komissarov","59",58.84,200,202.5,220,200,202.5,220,8.64197530864197,1
"36","Thomas Acher","59",58.68,NA,212.5,220,NA,212.5,220,3.52941176470588,1
"37","Viliam Kovác","59",58.3,182.5,210,215,182.5,210,215,2.38095238095238,1
"38","Aykut Kaymak Mert","59",58.86,180,200,-215,180,200,215,7.5,0
"39","Diyaz Mukhamedin","59",58.96,-187.5,-175,NA,187.5,175,NA,NA,NA
"40","Jansen Zhen Hao Law","59",58.5,-160,205,212.5,160,205,212.5,3.65853658536585,1
"41","Alberto Herraiz Francés","66",65.22,-240,242.5,-257.5,240,242.5,257.5,6.18556701030928,0
"42","Egor Khutorov","66",65.44,217.5,210,-212.5,217.5,210,212.5,1.19047619047619,0
"43","Alex Cremins","66",64,-200,250,260,200,250,260,4,1
"44","Satveer Rai","66",64.58,192.5,255,-262.5,192.5,255,262.5,2.94117647058824,0
"45","Ciarán Murray","66",64.08,-222.5,230,-240,222.5,230,240,4.34782608695652,0
"46","Hayato Iwaki","66",64.4,195,-235,-247.5,195,235,247.5,5.31914893617021,0
"47","Alan Chung","66",65.5,207.5,-245,-245,207.5,245,245,0,0
"48","Jesus Amado","66",65.46,192.5,-240,-240,192.5,240,240,0,0
"49","Yuji Murata","66",65.52,-192.5,215,-225,192.5,215,225,4.65116279069767,0
"50","Yuya Fujii","74",73.66,-265,295,-308,265,295,308,4.40677966101695,0
"51","Ade Omisakin","74",73.48,252.5,297.5,300,252.5,297.5,300,0.840336134453782,1
"52","Carl Johansson","74",73.16,-247.5,282.5,297.5,247.5,282.5,297.5,5.30973451327434,1
"53","Aleksey Sergeenko","74",73.78,250,222.5,-225,250,222.5,225,1.12359550561798,0
"54","Andréa Bonetto","74",73.22,-255,-255,-255,255,255,255,0,0
"55","Joy Fernandes Aren","74",73.5,215,280,-285,215,280,285,1.78571428571429,0
"56","Khaled Benbachir","74",73.64,-225,-280,-280,225,280,280,0,0
"57","Eetu Aalto","74",73.64,-217.5,250,257.5,217.5,250,257.5,3,1
"58","Simen Johnson Myrvold","74",73.78,-222.5,-240,-240,222.5,240,240,0,0
"59","Josh Foyle","74",73.46,225,252.5,260,225,252.5,260,2.97029702970297,1
"60","Ke Wu Di","74",73.2,210,-255,-255,210,255,255,0,0
"61","Lars Engø-Monsen","74",73.38,217.5,235,242.5,217.5,235,242.5,3.19148936170213,1
"62","Patrik Lnenicka","74",73.46,230,245,-255,230,245,255,4.08163265306122,0
"63","Posta Krisztian","74",73.8,215,237.5,250,215,237.5,250,5.26315789473684,1
"64","Dmitrii Stepanov","74",73.36,227.5,-232.5,NA,227.5,232.5,NA,NA,NA
"65","Raffael Schnell","74",73.68,205,-242.5,245,205,242.5,245,1.03092783505155,1
"66","Aybar Turan","74",72.76,210,220,240,210,220,240,9.09090909090909,1
"67","Luc Koekelkoren","74",73.78,-200,-247.5,-247.5,200,247.5,247.5,0,0
"68","Yuki Otake","74",73.24,197.5,215,222.5,197.5,215,222.5,3.48837209302326,1
"69","Edoardo Mazzucchielli","83",82.08,282.5,302.5,-312.5,282.5,302.5,312.5,3.30578512396694,0
"70","Adam Jansson","83",82.02,270,290,-297.5,270,290,297.5,2.58620689655172,0
"71","Robert Barsegian","83",82.34,252.5,282.5,-295,252.5,282.5,295,4.42477876106195,0
"72","Anthony Costarigot","83",82.72,252.5,-290,-290,252.5,290,290,0,0
"73","Luke Wilson #2","83",82.56,260,265,275,260,265,275,3.77358490566038,1
"74","Thomas Czaplicki","83",82.74,-252.5,295,-300,252.5,295,300,1.69491525423729,0
"75","Eetu Kumpulainen","83",82.7,-255,275,-282.5,255,275,282.5,2.72727272727273,0
"76","Ion Calmic","83",81.84,235,265,275,235,265,275,3.77358490566038,1
"77","Denis Kocar","83",81.44,220,250,255,220,250,255,2,1
"78","Arnar Jonsson Helgi","83",81.38,235,262.5,270,235,262.5,270,2.85714285714286,1
"79","Karel Rada #2","83",82.44,-242.5,260,-267.5,242.5,260,267.5,2.88461538461538,0
"80","Gavin Adin","93",92.51,-320,310,317.5,320,310,317.5,2.41935483870968,1
"81","Matthew Lewis Vena","93",92.48,300,305,310,300,305,310,1.63934426229508,1
"82","Richmond Baiden","93",90.72,-282.5,302.5,310,282.5,302.5,310,2.47933884297521,1
"83","Mattias Svensson","93",92.51,272.5,320,-325,272.5,320,325,1.5625,0
"84","Oluwadamilola Fashoranti","93",91.82,270,-320,-320,270,320,320,0,0
"85","Paul Egger","93",92.35,272.5,322.5,325,272.5,322.5,325,0.775193798449612,1
"86","Yulong Li","93",90.75,285,-287.5,-287.5,285,287.5,287.5,0,0
"87","Andrew Blackwood","93",92.89,-270,305,315,270,305,315,3.27868852459016,1
"88","Alfredo Orsini","93",92.81,255,-290,290,255,290,290,0,1
"89","Benjamin Rastum","93",92.87,275,272.5,-280,275,272.5,280,2.75229357798165,0
"90","Niko Lappi","93",92.1,-270,-320,NA,270,320,NA,NA,NA
"91","Alexander Örn Kárason","93",92.94,257.5,-280,-280,257.5,280,280,0,0
"92","John Wortel","93",91.64,245,285,-297.5,245,285,297.5,4.3859649122807,0
"93","Jacob Florelius","93",92.6,235,275,-285,235,275,285,3.63636363636364,0
"94","Ilia Moshkin","93",92.68,252.5,-242.5,242.5,252.5,242.5,242.5,0,1
"95","Mark Dolzhenko","93",91.84,-235,265,NA,235,265,NA,NA,NA
"96","Nejc Rebolj","93",92.46,-250,252.5,257.5,250,252.5,257.5,1.98019801980198,1
"97","Mustafa Yesilyurt","93",92.55,225,-260,-260,225,260,260,0,0
"98","Guillaume Parisot","93",92.54,-270,-310,-310,270,310,310,0,0
"99","Slawomir Sledz","66",63.36,197.5,215,220,197.5,215,220,2.32558139534884,1
"100","Chris Aviado","66",64.58,185,212.5,-215,185,212.5,215,1.17647058823529,0
"101","Niklas Ek","66",65.66,180,205,217.5,180,205,217.5,6.09756097560976,1
"102","Jani Haapamäki","74",73.6,225,260,275,225,260,275,5.76923076923077,1
"103","Malcolm Long","74",73.66,-200,242.5,250,200,242.5,250,3.09278350515464,1
"104","Florian Dorfner","74",73.3,-215,220,225,215,220,225,2.27272727272727,1
"105","Ali Gönen","74",72.76,190,250,-262.5,190,250,262.5,5,0
"106","Alessandro Cuoghi","83",82.4,245,250,-255,245,250,255,2,0
"107","Emil Löfgren","83",82.03,225,270,275,225,270,275,1.85185185185185,1
"108","Kent Flaeten","83",82.45,NA,207.5,215,NA,207.5,215,3.6144578313253,1
"109","Job Zeijen","83",82.43,207.5,-262.5,-262.5,207.5,262.5,262.5,0,0
"110","Rob Dyke","83",81.46,182.5,210,-237.5,182.5,210,237.5,13.0952380952381,0
"111","Egedahl Overgaard Jesper","83",82.86,180,-225,-225,180,225,225,0,0
"112","Faisal Alzaabi","83",82.17,NA,NA,NA,NA,NA,NA,NA,NA
"113","Adem Biyikoglu","83",81.2,225,270,275,225,270,275,1.85185185185185,1
"114","Maël Le Paven","83",82.67,NA,NA,NA,NA,NA,NA,NA,NA
"115","Miklós Fekete","93",92.44,257.5,287.5,-307.5,257.5,287.5,307.5,6.95652173913043,0
"116","Keto Allen","93",92.48,252.5,-270,270,252.5,270,270,0,1
"117","Sébastien Hupfer","93",91.8,-265,277.5,282.5,265,277.5,282.5,1.8018018018018,1
"118","Helge Hansen","93",92.02,255,270,275,255,270,275,1.85185185185185,1
"119","Fredrik Correa","93",91.2,-240,280,-287.5,240,280,287.5,2.67857142857143,0
"120","Enno Langelotz","93",92.04,-245,240,-245,245,240,245,2.08333333333333,0
"121","Thomas Edvinsson","93",91.98,NA,220,-230,NA,220,230,4.54545454545455,0
"122","Kay Milde","93",91.08,NA,275,282.5,NA,275,282.5,2.72727272727273,1
"123","Nygren Hansen Thomas","93",90.58,162.5,220,-235,162.5,220,235,6.81818181818182,0
"124","Abdussaleem C V","93",90.86,177.5,200,-202.5,177.5,200,202.5,1.25,0
"125","Thomas Wulffeld","59",58.91,172.5,217.5,225,172.5,217.5,225,3.44827586206897,1
"126","Frank Wunderlich","59",58.66,105,142.5,147.5,105,142.5,147.5,3.50877192982456,1
"127","Lewis Noppers","66",65.73,190,259,-263,190,259,263,1.54440154440154,0
"128","Jonas Telégin","66",65.75,150,215,-230,150,215,230,6.97674418604651,0
"129","Jacob Carrasco-Gonzales","74",72.26,-215,235,-242.5,215,235,242.5,3.19148936170213,0
"130","Manolo Omarini Che","74",73.77,192.5,225,-235,192.5,225,235,4.44444444444444,0
"131","Marek Jaroniec","74",71.37,-202.5,207.5,210,202.5,207.5,210,1.20481927710843,1
"132","Joe McCullough","74",72.83,182.5,217.5,-220,182.5,217.5,220,1.14942528735632,0
"133","Per Gasdal","74",73.59,150,205,225,150,205,225,9.75609756097561,1
"134","Cory Watkins","74",73.52,145,192.5,200,145,192.5,200,3.8961038961039,1
"135","Terje Myrvold","74",73.64,140,172.5,-180,140,172.5,180,4.34782608695652,0
"136","Ahmed Zellouf","74",72.08,140,-200,NA,140,200,NA,NA,NA
"137","Thomas Gustavsson","83",82.15,190,232.5,NA,190,232.5,NA,NA,NA
"138","Erik Vik Jan","83",82.31,-202.5,-225,-227.5,202.5,225,227.5,1.11111111111111,0
"139","Jesper Mogensen","83",79.72,157.5,200,205,157.5,200,205,2.5,1
"140","Alejandro Rodríguez Acuña","93",92.66,270,260,-267.5,270,260,267.5,2.88461538461538,0
"141","Jeff Butt","93",92.64,252.5,272.5,280,252.5,272.5,280,2.75229357798165,1
"142","Pasi Kapanen","93",92.18,245,-282.5,-302.5,245,282.5,302.5,7.07964601769912,0
"143","Harald Ekerhovd Nils","93",91.62,-220,250,-270,220,250,270,8,0
"144","Kim Dahl Hansen","93",92.66,215,242.5,-247.5,215,242.5,247.5,2.06185567010309,0
"145","Vladimir Grazhdankin","93",89.22,170,NA,NA,170,NA,NA,NA,NA
"146","Rafael López Cabello","66",64.66,167.5,200,-225.5,167.5,200,225.5,12.75,0
"147","Fernando Jimenez Ortega","74",71.72,195,215,-227.5,195,215,227.5,5.81395348837209,0
"148","Reino Puska","74",72,-192.5,200,-205,192.5,200,205,2.5,0
"149","Henryk Hintzke","74",72.66,170,-190,190,170,190,190,0,1
"150","Jean-Yves Marion","74",71.96,130,160,-165,130,160,165,3.125,0
"151","Hans Winbo","74",73.86,NA,NA,NA,NA,NA,NA,NA,NA
"152","Rolf Hampel","83",81.78,232.5,217.5,227.5,232.5,217.5,227.5,4.59770114942529,1
"153","Tormod Andersen","83",80.5,170,210,220,170,210,220,4.76190476190476,1
"154","Tomas Ring","83",82.4,NA,-160,162.5,NA,160,162.5,1.5625,1
"155","Wim Bevers","83",82.82,NA,192.5,-205,NA,192.5,205,6.49350649350649,0
"156","David Ricks","93",92.65,-282.5,273,287.5,282.5,273,287.5,5.31135531135531,1
"157","Harri Hagfors","93",92.76,195,-235,237.5,195,235,237.5,1.06382978723404,1
"158","Michal Sekot","93",92.03,190,215,217.5,190,215,217.5,1.16279069767442,1
"159","Anders Källberg","93",91.54,180,215,-217.5,180,215,217.5,1.16279069767442,0
"160","Morten Rygh","93",91.32,175,205,-215,175,205,215,4.8780487804878,0
"161","Lars Flyborg","66",65.32,160,165,-172.5,160,165,172.5,4.54545454545455,0
"162","John Terragni","74",72.3,152.5,165,172.5,152.5,165,172.5,4.54545454545455,1
"163","Jean-Pierre Duverger","74",72.88,127.5,140,-160,127.5,140,160,14.2857142857143,0
"164","John LaFlamme","83",82.11,193,220,232.5,193,220,232.5,5.68181818181818,1
"165","Janos Fabri","83",80.22,-165,230,240,165,230,240,4.34782608695652,1
"166","Kari Mattila","83",78.09,75,145,-155,75,145,155,6.89655172413793,0
"167","Sava Vasiljevski","93",88.98,NA,190,NA,NA,190,NA,NA,NA
"168","Kazimierz Michael Forys","93",91.36,NA,NA,NA,NA,NA,NA,NA,NA
"169","Sergey Fedosienko","59",58.74,230,250,260,230,250,260,4,1
"170","Evgeniy Mukhomedyanov","59",58.9,207.5,220,230,207.5,220,230,4.54545454545455,1
"171","Panagiotis Tarinidis","66",65.82,247.5,277.5,-285,247.5,277.5,285,2.7027027027027,0
"172","Sergey Gladkikh","66",65.96,255,272.5,-285,255,272.5,285,4.58715596330275,0
"173","Eddie Berglund","66",65.84,242.5,230,-257.5,242.5,230,257.5,11.9565217391304,0
"174","Oleksii Titov","66",65.94,227.5,265,-280,227.5,265,280,5.66037735849057,0
"175","Mark Tobias","66",66,-242.5,-265,-265,242.5,265,265,0,0
"176","Alexander Eriksson","74",73.76,-255,292.5,302.5,255,292.5,302.5,3.41880341880342,1
"177","Paul Rembauville","74",73.72,-262.5,310,-320,262.5,310,320,3.2258064516129,0
"178","Yakov Ionin","74",73.3,-260,280,-292.5,260,280,292.5,4.46428571428571,0
"179","Joshua Wright #1","74",73.44,242.5,295,-305,242.5,295,305,3.38983050847458,0
"180","Yakup Ünal","74",73.92,255,300,-317.5,255,300,317.5,5.83333333333333,0
"181","Riccardo Angelini","74",73.98,255,280,-295,255,280,295,5.35714285714286,0
"182","Christopher Wong","74",72.28,250,285,295,250,285,295,3.50877192982456,1
"183","Dawid Kawka","74",73.68,-252.5,275,-280,252.5,275,280,1.81818181818182,0
"184","Jesús Javier Quirante Pérez","74",73.3,-207.5,267.5,-275,207.5,267.5,275,2.80373831775701,0
"185","Shiva Karout","74",71.76,220,255,-265,220,255,265,3.92156862745098,0
"186","Sean McGrory","74",73.7,222.5,240,250,222.5,240,250,4.16666666666667,1
"187","Jan Simo","74",73.76,225,-262.5,-267.5,225,262.5,267.5,1.9047619047619,0
"188","Luke Rogers #1","74",73.8,215,260,NA,215,260,NA,NA,NA
"189","Ali Berber Muhammet","74",69.56,-207.5,-255,-255,207.5,255,255,0,0
"190","Russel Orhii","83",82.62,320.5,325,333,320.5,325,333,2.46153846153846,1
"191","Yanis Bouchou","83",82.58,267.5,330,335.5,267.5,330,335.5,1.66666666666667,1
"192","Emilio Cotti Cometti","83",82.86,282.5,325,327.5,282.5,325,327.5,0.769230769230769,1
"193","Damian Nam","83",82.46,287.5,297.5,312.5,287.5,297.5,312.5,5.04201680672269,1
"194","Kafui Hotsonyame","83",81.92,270,-322.5,-325,270,322.5,325,0.775193798449612,0
"195","Nikolay Zemtsov","83",82.42,-270,310,-335,270,310,335,8.06451612903226,0
"196","Matteo Moretto","83",82.1,285,275,-280,285,275,280,1.81818181818182,0
"197","Jack Söderberg","83",82.14,270,285,-290,270,285,290,1.75438596491228,0
"198","Alexey Kuzmin","83",82.74,-270,290,-300,270,290,300,3.44827586206897,0
"199","Johannes Kristensen","83",82.84,NA,-302.5,-305,NA,302.5,305,0.826446280991736,0
"200","Christian Ayandokun","83",82.8,-240,-331.5,-335.5,240,331.5,335.5,1.20663650075415,0
"201","Asein Enahoro","83",81.54,240,332.5,336,240,332.5,336,1.05263157894737,1
"202","Anton Umanskyi","83",80.98,272.5,-277.5,-277.5,272.5,277.5,277.5,0,0
"203","Joakim Halland Anders","83",82.92,255,285,-292.5,255,285,292.5,2.63157894736842,0
"204","Martin Reidy","83",82.47,232.5,300,-305,232.5,300,305,1.66666666666667,0
"205","Friðbjörn Bragi Hlynsson","83",82.84,-257.5,270,-280,257.5,270,280,3.7037037037037,0
"206","Zavesicki Richard","83",82.24,-237.5,247.5,-260,237.5,247.5,260,5.05050505050505,0
"207","Akeame Jones","83",81.86,-227.5,-265,-265,227.5,265,265,0,0
"208","Miroslav Necas","83",82.24,-260,265,272.5,260,265,272.5,2.83018867924528,1
"209","Jonathan Cayco","93",92.14,292.5,335,342.5,292.5,335,342.5,2.23880597014925,1
"210","Gustav Hedlund","93",92.88,312.5,335,-352.5,312.5,335,352.5,5.22388059701492,0
"211","Emil Krastev","93",92.72,300,317.5,-337.5,300,317.5,337.5,6.2992125984252,0
"212","Teodor Radev","93",91.8,-280,-317.5,325,280,317.5,325,2.36220472440945,1
"213","Alexey Zinurov","93",93,297.5,295,-302.5,297.5,295,302.5,2.54237288135593,0
"214","TJ Gear","93",91.8,250,312.5,325,250,312.5,325,4,1
"215","Erik Mata","93",92.84,295,300,-307.5,295,300,307.5,2.5,0
"216","René Hofer","93",92.02,282.5,317.5,-330,282.5,317.5,330,3.93700787401575,0
"217","Richard van Bezooijen","93",90.86,-282.5,302.5,-310,282.5,302.5,310,2.47933884297521,0
"218","Ulan Anuar","93",91.96,-292.5,300,-310,292.5,300,310,3.33333333333333,0
"219","Antonio Gorga","93",89.04,270,300,310,270,300,310,3.33333333333333,1
"220","Vyacheslav Shutenko","93",92.68,-287.5,317.5,-327.5,287.5,317.5,327.5,3.1496062992126,0
"221","Oleg Dudchenko","93",92.62,267.5,300,NA,267.5,300,NA,NA,NA
"222","Cian Madden","93",92.8,277.5,285,-300,277.5,285,300,5.26315789473684,0
"223","Kevin Chau","93",91.92,272.5,267.5,280,272.5,267.5,280,4.67289719626168,1
"224","Susa David","93",93,252.5,265,-280,252.5,265,280,5.66037735849057,0
"225","Alper Bülbül","93",91.16,-230,280,-300,230,280,300,7.14285714285714,0
"226","Ali Deniz Mehmet","93",91.32,240,275,-285,240,275,285,3.63636363636364,0
"227","Deon Smedley","93",91.86,-247.5,255,260,247.5,255,260,1.96078431372549,1
"228","Tanno de Pender","93",92.36,270,312.5,-327.5,270,312.5,327.5,4.8,0
"229","Diana Anerkhanova","43",42.7,70,80,87.5,70,80,87.5,9.375,1
"230","Pragathi P Nair","43",42.37,60,85,-107.5,60,85,107.5,26.4705882352941,0
"231","Alina Udaltsova","47",46.94,-110,-142.5,-142.5,110,142.5,142.5,0,0
"232","Tetiana Petrenko","47",46.77,-92.5,122.5,132.5,92.5,122.5,132.5,8.16326530612245,1
"233","Jane Erasmo","47",46.87,85,-130,132.5,85,130,132.5,1.92307692307692,1
"234","Sofiya Stanko","52",51.97,115,115,-120,115,115,120,4.34782608695652,0
"235","Maria Kurkova","52",51.57,-110,-137.5,-137.5,110,137.5,137.5,0,0
"236","Lauren Recci","52",50.65,100,140,-142.5,100,140,142.5,1.78571428571429,0
"237","Andrea Boyle","52",51.5,95,132.5,-137.5,95,132.5,137.5,3.77358490566038,0
"238","Aimee Grefen","52",51.48,-102.5,-132.5,-132.5,102.5,132.5,132.5,0,0
"239","Laoise Quinn","57",55.44,147.5,-165.5,-165.5,147.5,165.5,165.5,0,0
"240","Esmee Neeleman","57",56.16,110,147.5,157.5,110,147.5,157.5,6.77966101694915,1
"241","Barbora Švanová","57",55.71,-132.5,140,-142.5,132.5,140,142.5,1.78571428571429,0
"242","Polina Pavlova","57",56.86,-125,-160,-160,125,160,160,0,0
"243","Veronika Dyakova","63",62.31,-130,-157.5,165,130,157.5,165,4.76190476190476,1
"244","Anastasiya Butenko","63",58.75,-147.5,150,-152.5,147.5,150,152.5,1.66666666666667,0
"245","Mijuane de Wet","63",61.7,-142.5,-150,-150,142.5,150,150,0,0
"246","Anna Bardova","69",67.4,-190,192.5,199,190,192.5,199,3.37662337662338,1
"247","Diana Hvahvalia","69",68.89,-137.5,-165,-165,137.5,165,165,0,0
"248","Andjela Kitanovic","69",67.14,115,137.5,140,115,137.5,140,1.81818181818182,1
"249","Justyna Pietrykowska","69",68.29,97.5,122.5,-127.5,97.5,122.5,127.5,4.08163265306122,0
"250","Ayisha Beegam C. V","69",67.36,110,115,122.5,110,115,122.5,6.52173913043478,1
"251","Heike Groenewald","69",64.72,-92.5,125,130,92.5,125,130,4,1
"252","Štepánka Radová","69",66.38,102.5,110,115,102.5,110,115,4.54545454545455,1
"253","Eliise Mikomägi","76",74.61,152.5,160,170,152.5,160,170,6.25,1
"254","Viktoriia Volvenkina","76",75.61,-142.5,157.5,177.5,142.5,157.5,177.5,12.6984126984127,1
"255","Tatyana Bykova","84",83.3,130,130,135,130,130,135,3.84615384615385,1
"256","Reda Laurinaviciute","84",82.92,115,140,145,115,140,145,3.57142857142857,1
"257","Cassandra Annergren","84",81.6,-140,196.5,-202.5,140,196.5,202.5,3.05343511450382,0
"258","Veronica Ompod","43",42.5,-105,110,117.5,105,110,117.5,6.81818181818182,1
"259","Cosmiana Montanaro","47",46.4,120,-162.5,162.5,120,162.5,162.5,0,1
"260","Zuzanna Kula","47",46.88,-127.5,-137.5,137.5,127.5,137.5,137.5,0,1
"261","Svetlana Verigina","47",46.74,-112.5,135,140,112.5,135,140,3.7037037037037,1
"262","Karine St-Coeur","47",46.36,-112.5,-137.5,-137.5,112.5,137.5,137.5,0,0
"263","Kym Murray","47",46.38,-100,120,122.5,100,120,122.5,2.08333333333333,1
"264","Kristina Lieonienko","47",46.64,100,105,-115,100,105,115,9.52380952380952,0
"265","Olivia Kyösti","52",51.74,143,152.5,-155,143,152.5,155,1.63934426229508,0
"266","Ida-Therese Lindeberg","52",51.18,-137.5,162.5,170,137.5,162.5,170,4.61538461538462,1
"267","Anna Maramotti","52",51.66,143.5,-150,155,143.5,150,155,3.33333333333333,1
"268","Giulia Grechi","52",51.1,-130,175,182.5,130,175,182.5,4.28571428571429,1
"269","Viktoria Druziaka","52",51.58,-142,140,145,142,140,145,3.57142857142857,1
"270","Valeriya Lescheva","52",50.88,127.5,117.5,-122.5,127.5,117.5,122.5,4.25531914893617,0
"271","Sopiko Kvantchiani","52",51.94,127.5,132.5,-140,127.5,132.5,140,5.66037735849057,0
"272","Laura Nathalia Varela Vallejos","52",51.32,117.5,-130,130,117.5,130,130,0,1
"273","Jade Jacob","57",55.92,171.5,185.5,-195,171.5,185.5,195,5.12129380053908,0
"274","Maiara Da Silva Dias","57",56.4,-168,188,-195,168,188,195,3.72340425531915,0
"275","Sherry Berdigan","57",56.78,145,180,182.5,145,180,182.5,1.38888888888889,1
"276","Janneke Brauckman","57",56.24,142.5,165,167.5,142.5,165,167.5,1.51515151515152,1
"277","Emily Finnern","57",56.76,-157.5,155,-162.5,157.5,155,162.5,4.83870967741935,0
"278","Joya Khairallah","57",55.38,-140,167.5,172.5,140,167.5,172.5,2.98507462686567,1
"279","Nicole Tiranti","57",56.78,130,180,-188.5,130,180,188.5,4.72222222222222,0
"280","Rachel Mawer","57",56.94,-127.5,157.5,162.5,127.5,157.5,162.5,3.17460317460317,1
"281","Mia Margrethe Ramberg Storstad","57",55.8,132.5,137.5,-150,132.5,137.5,150,9.09090909090909,0
"282","Elizaveta Pechenkina","57",56.5,130,-162.5,-162.5,130,162.5,162.5,0,0
"283","Veronika Pasicná","57",55.84,-130,152.5,155,130,152.5,155,1.63934426229508,1
"284","Veronique Cormier","57",55.96,-132.5,140,-145,132.5,140,145,3.57142857142857,0
"285","Sofia Räihä","57",56.64,-125,145,-157.5,125,145,157.5,8.62068965517241,0
"286","Priscilla Delmoral","57",55.64,130,127.5,130,130,127.5,130,1.96078431372549,1
"287","Adriana Holubová","57",56.74,105,127.5,-132.5,105,127.5,132.5,3.92156862745098,0
"288","Regina Bille","57",56.1,-150,NA,NA,150,NA,NA,NA,NA
"289","Chiara Bernardi","63",62.26,183,203.5,210,183,203.5,210,3.19410319410319,1
"290","Sara Naldi","63",61.98,181,202.5,-207,181,202.5,207,2.22222222222222,0
"291","Alba Boström","63",62.26,-162.5,187.5,192.5,162.5,187.5,192.5,2.66666666666667,1
"292","Aletta Rozsnyai-Kovács","63",62.66,162.5,180,-185,162.5,180,185,2.77777777777778,0
"293","Samantha Eugenie","63",62.12,170,180,-192.5,170,180,192.5,6.94444444444444,0
"294","Ludivine Delos","63",61.56,-170,182.5,-187.5,170,182.5,187.5,2.73972602739726,0
"295","Serena DeSantis","63",61.94,160,175,185,160,175,185,5.71428571428571,1
"296","Daria Vorobeva","63",62.66,-167.5,167.5,172.5,167.5,167.5,172.5,2.98507462686567,1
"297","Kana Okada","63",61.5,172.5,162.5,-167.5,172.5,162.5,167.5,3.07692307692308,0
"298","Sophia Pilwax","63",61.78,145,175,182.5,145,175,182.5,4.28571428571429,1
"299","Mackenzie Rose","63",60.4,155,167.5,-175,155,167.5,175,4.47761194029851,0
"300","Sanne van der Ploeg","63",62.2,-140,162.5,-170,140,162.5,170,4.61538461538462,0
"301","Ida Hyytiäinen","63",63,-132.5,-167.5,-167.5,132.5,167.5,167.5,0,0
"302","Jayne Jones","63",62.16,127.5,155,-160,127.5,155,160,3.2258064516129,0
"303","SelIn Cullu","63",60.76,-92.5,97.5,-117.5,92.5,97.5,117.5,20.5128205128205,0
"304","Agnes Rudin","69",67.68,180.5,187.5,-192.5,180.5,187.5,192.5,2.66666666666667,0
"305","Clara Peyraud","69",67.64,-170,-211,-211,170,211,211,0,0
"306","Amira Isabel Blecua Malak","69",68.22,-172.5,205,-214,172.5,205,214,4.39024390243902,0
"307","Emma Omani","69",66.92,-162.5,187.5,195,162.5,187.5,195,4,1
